Rank,Country,Average IQ,Continent,Literacy Rate,Nobel Prices,HDI (2021),Mean years of schooling - 2021,Population - 2023, GNI - 2021
1,Japan,106.48,Asia,0.99,29,0.925,13.4,123294513,42274.0
2,Taiwan,106.47,Asia,0.96,4,,,10143543,
3,Singapore,105.89,Asia,0.97,0,0.939,11.9,6014723,90919.0
4,Hong Kong,105.37,Asia,0.94,1,0.952,12.2,7491609,62607.0
5,China,104.1,Asia,0.96,8,0.768,7.6,1425671352,17504.0
6,South Korea,102.35,Asia,0.98,0,0.925,12.5,51784059,44501.0
7,Belarus,101.6,Europe,1.0,2,0.808,12.1,9498238,18849.0
8,Finland,101.2,Europe,1.0,5,0.94,12.9,5545475,49452.0
9,Liechtenstein,101.07,Europe,1.0,0,0.935,12.5,	39315,146830.0
10,Germany,100.74,Europe,0.99,111,0.942,14.1,83294633,54534.0
11,Netherlands,100.74,Europe,0.99,22,0.941,12.6,17618299,55979.0
12,Estonia,100.72,Europe,1.0,0,0.89,13.5,1322766,38048.0
13,Luxembourg,99.87,Europe,1.0,2,0.93,13.0,654.768,84649.0
14,Macao,99.82,Asia,0.97,0,,,704.15,
15,Cambodia,99.75,Asia,0.78,0,0.593,5.1,16944826,4079.0
16,Canada,99.52,North America,0.99,28,0.936,13.8,38781292,46808.0
17,Australia,99.24,Oceania,0.99,12,0.951,12.7,26439112,49238.0
18,Hungary,99.24,Europe,0.99,13,0.846,12.2,10156239,32789.0
19,Switzerland,99.24,Europe,0.99,27,0.962,13.9,8796669,66933.0
20,United Kingdom,99.12,Europe,0.99,137,0.929,13.4,67736802,45225.0
21,North Korea,98.82,Asia,1.0,0,,,26160822,
22,Slovenia,98.6,Europe,1.0,1,0.918,12.8,2119675,39746.0
23,New Zealand,98.57,Oceania,0.99,3,0.937,12.9,5228100,44057.0
24,Austria,98.38,Europe,0.98,22,0.916,12.3,8958961,53619.0
25,Iceland,98.26,Europe,0.99,1,0.959,13.8,375.319,55782.0
26,Denmark,97.83,Europe,0.99,13,0.948,13.0,5910913,60365.0
27,Belgium,97.49,Europe,0.99,11,0.937,12.4,11686140,52293.0
28,United States,97.43,North America,0.99,400,0.921,13.7,339996564,64765.0
29,Norway,97.13,Europe,1.0,13,0.961,13.0,5474360,64660.0
30,Sweden,97.0,Europe,0.99,32,0.947,12.6,10612086,54489.0
31,France,96.69,Europe,0.99,71,0.903,11.6,64756584,45937.0
32,Poland,96.35,Europe,1.0,19,0.876,13.2,41026068,33034.0
33,Slovakia,96.32,Europe,1.0,0,0.848,12.9,5795199,30690.0
34,Russia,96.29,Europe/Asia,1.0,0,0.822,12.8,144444359,27166.0
35,Lithuania,95.89,Europe,1.0,3,0.875,13.5,2718352,37931.0
36,Croatia,95.75,Europe,0.99,2,0.858,12.2,4008617,30132.0
37,Andorra,95.2,Europe,1.0,0,0.858,10.6,76.965,51167.0
38,Ireland,95.13,Europe,0.99,11,0.945,11.6,5056935,76169.0
39,Czech republic,94.92,Europe,0.99,6,0.889,12.9,10495295,38745.0
40,Latvia,94.79,Europe,1.0,1,0.863,13.3,1830212,32803.0
41,Italy,94.23,Europe,0.99,21,0.895,10.7,58870763,42840.0
42,New Caledonia,93.92,Oceania,0.97,0,,,292.991,
43,Vanuatu,93.92,Oceania,0.85,0,0.607,7.1,334.506,3085.0
44,Spain,93.9,Europe,0.98,8,0.905,10.6,47519628,38354.0
45,Bermuda,93.48,North America,0.98,0,,,63.837,
46,Cyprus,93.39,Europe,0.99,1,0.896,12.4,1260138,38188.0
47,Portugal,92.77,Europe,0.95,2,0.866,9.6,10247605,33155.0
48,Israel,92.43,Asia,0.97,13,0.919,13.3,9174520,41524.0
49,Barbados,91.6,Central America,1.0,0,0.79,9.9,281.996,12306.0
50,Malta,91.27,Europe,0.94,0,0.918,12.2,535.065,38884.0
51,Myanmar,91.18,Asia,0.93,1,0.585,6.4,54577997,3851.0
52,Mongolia,91.03,Asia,0.98,0,0.739,9.4,3447157,10588.0
53,Bulgaria,90.99,Europe,0.98,1,0.795,11.4,6687717,23079.0
54,Greece,90.77,Europe,0.95,2,0.887,11.4,10341277,29002.0
